ID,ESTADO,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020
11,GTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,5,5,5,6,7,9,9,9,9,9,14,17,19,20,21,21,22,24,26,27,31,33,38,40,42,46,46,46,46
12,GRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,4,5,6,6,6,6,6,8,9,11,11,12,14,16,17,22,28,29,29,30,36,46,47,49,49,48,50,54,57,59,61,64,70,71
13,HGO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,5,5,5,6,7,7,7,8,9,9,10,12,12,13,13,14,15,16,16,15,17,17,18,21,27,29,30,34,36,42,48,52,58,66,72,75,83,90
14,JAL,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,4,6,6,6,7,7,8,8,9,11,11,11,11,11,11,13,13,13,14,15,15,19,20,23,25,25,25,25,28,30,32,33,34,35,37,41,47,48,52,55
15,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,8,9,11,11,16,19,22,27,35,43,46,49,52,55,58,71,82,95,104,110,116,122,128,143,169,185,191,199,207,227,244,275,300,321,340,343
16,MICH,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,4,5,5,7,8,9,9,11,12,13,14,16,17,17,19,21,24,26,28,31,34,37,38,42,45,48,51,54,56,57,58,59,62,67,71
17,MOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,4,5,7,7,7,7,7,9,10,10,10,11,12,12,14,18,20,24,25,27,27,28,30,36,43,46,49,57,69,74,84,93,99,99,99
18,NAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,4,4,4,4,5,5,5,5,5,5,5,6,7,7,7,7,7,11,12,12,12,12,12,13,17,20,20,21,22,23,23
19,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,9,9,9,10,12,13,16,17,19,20,23,25,28,32,33,33,33,33
20,OAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,5,5,5,5,6,6,6,7,8,9,11,13,15,15,17,18,19,20,22,23,24,27,30,32,37,40,45,45
21,PUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,4,9,10,15,18,20,22,27,31,32,37,40,41,45,53,56,61,62,65,65,65,75,81,86,88,92,102,106,113,116,124,129,145,145,146
22,QRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,5,5,6,6,6,6,6,7,7,7,7,9,10,12,12,13,13,15,16,17,19,19,20,21,21,22,25
23,QROO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,4,8,9,10,12,13,18,19,22,25,27,28,31,31,31,34,47,56,61,71,76,79,85,90,108,114,116,116,118,119,142,158,168,175,182,183,192
24,SLP,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,7,7,7,8,8,8,8,8,9,10,11,12,12,12
25,SIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,5,10,12,12,13,13,15,18,24,24,28,34,38,40,43,45,45,45,52,59,62,92,98,105,122,130,133,139,159,163,170,173,173,180,197,204,207,213,216
26,SON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,5,5,5,9,9,9,10,10,10,12,12,13,13,16,16,18,18,18,19,20,20,23,23,23,23,23,24,25,25,26,27,28
27,TAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,8,8,8,9,9,12,12,14,19,21,25,27,28,38,42,55,60,67,79,86,95,99,106,116,124,131,137,145,156,176,179,188,201,211,220,232
28,TAMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,4,4,5,5,5,5,7,8,9,10,11,11,12,15,18,18,20,21,22,23,26,27,28,31,37,38,46
29,TLAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,4,4,4,4,4,4,5,9,10,13,13,13,15,17,19,23,23,23,23,26,30,36,43,50,53,55,58
30,VER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,5,6,6,7,8,9,12,13,18,21,22,23,25,31,38,42,52,56,59,64,68,79,83,99,112,121,123,135
31,YUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,4,4,6,6,7,7,7,8,10,10,10,12,15,18,19,20,20,23,23,26,26,30,30,31,31,33,36,39,48,48,48,51
32,ZAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,7,7,8,8,10,13,16,17,18,18,18,18,19,19
